Population size: 200
Mutation rate: 0.2
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	1	127
7	1	127
8	1	125
9	1	125
10	1	117
11	1	117
12	1	117
13	1	117
14	1	117
15	1	117
16	1	117
17	1	117
18	1	117
19	1	117
20	1	117
21	1	117
22	1	117
23	1	117
24	1	117
25	1	117
26	1	117
27	1	117
28	1	117
29	1	117
30	1	117
31	1	117
32	1	117
33	1	117
34	1	114
35	2	114
36	2	114
37	2	103
38	2	96
39	4	96
40	4	96
41	4	96
42	4	96
43	4	96
44	4	96
45	4	96
46	4	96
47	4	96
48	4	96
49	4	96
50	4	96
