Population size: 200
Mutation rate: 0.2
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	0	500
6	0	500
7	0	500
8	0	500
9	0	500
10	0	500
11	0	500
12	0	500
13	0	500
14	0	500
15	0	500
16	1	112
17	1	112
18	1	112
19	1	112
20	1	112
21	1	112
22	1	112
23	1	112
24	1	112
25	1	112
26	1	112
27	1	112
28	1	112
29	1	112
30	1	112
31	1	112
32	1	112
33	1	112
34	1	112
35	1	112
36	1	112
37	1	112
38	1	112
39	1	112
40	1	112
41	1	112
42	1	112
43	1	112
44	1	112
45	1	112
46	1	112
47	1	112
48	1	112
49	1	112
50	1	112
