Population size: 200
Mutation rate: 0.1
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	1	134
2	1	134
3	1	134
4	1	134
5	1	134
6	1	134
7	1	112
8	2	104
9	2	104
10	7	104
11	7	102
12	12	102
13	12	102
14	12	102
15	12	102
16	12	102
17	12	102
18	12	102
19	12	102
20	12	102
21	12	102
22	12	102
23	12	102
24	12	98
25	12	95
26	12	95
27	12	95
28	12	95
29	12	95
30	12	95
31	12	95
32	12	95
33	12	95
34	12	95
35	12	95
36	12	95
37	12	95
38	12	95
39	12	95
40	12	95
41	12	95
42	12	95
43	12	95
44	12	95
45	12	95
46	12	95
47	12	95
48	12	95
49	12	95
50	12	95
