Population size: 300
Mutation rate: 0.1
Random ones: 60
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	2	106
4	3	105
5	3	102
6	3	102
7	3	100
8	5	100
9	5	100
10	5	100
11	5	100
12	5	100
13	5	100
14	5	100
15	5	100
16	5	100
17	5	100
18	5	100
19	5	100
20	5	100
21	5	100
22	7	100
23	7	100
24	7	100
25	7	100
26	7	100
27	12	100
28	12	100
29	12	100
30	12	100
31	12	100
32	12	100
33	12	100
34	12	100
35	12	99
36	12	99
37	14	99
38	14	99
39	14	99
40	14	99
41	14	99
42	14	99
43	14	99
44	14	99
45	14	99
46	14	99
47	14	99
48	14	99
49	14	99
50	14	99
