Population size: 200
Mutation rate: 0.2
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	1	111
6	2	111
7	2	111
8	2	111
9	2	111
10	2	111
11	2	111
12	2	111
13	2	111
14	2	111
15	2	111
16	2	111
17	2	111
18	2	111
19	2	111
20	2	111
21	2	111
22	2	111
23	2	111
24	2	111
25	2	111
26	3	111
27	3	111
28	3	111
29	3	111
30	3	111
31	3	111
32	3	111
33	3	111
34	3	111
35	3	111
36	3	111
37	3	111
38	3	111
39	3	111
40	3	111
41	3	111
42	3	111
43	3	111
44	3	111
45	3	111
46	3	111
47	3	111
48	3	111
49	3	111
50	3	111
