Population size: 300
Mutation rate: 0.1
Random ones: 60
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	1	140
2	3	119
3	3	119
4	3	119
5	3	115
6	3	115
7	3	115
8	3	115
9	3	115
10	3	115
11	3	101
12	6	94
13	6	94
14	6	94
15	6	94
16	6	94
17	6	94
18	6	94
19	6	94
20	6	94
21	6	94
22	6	94
23	6	94
24	6	94
25	6	94
26	6	94
27	6	94
28	6	94
29	6	94
30	6	94
31	6	94
32	6	94
33	6	94
34	6	94
35	6	94
36	6	94
37	6	94
38	6	94
39	6	94
40	6	94
41	6	94
42	6	94
43	6	94
44	6	94
45	6	94
46	7	94
47	7	94
48	7	94
49	7	94
50	7	94
