Population size: 100
Mutation rate: 0.05
Random ones: 10
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	0	500
2	0	500
3	0	500
4	0	500
5	1	154
6	1	154
7	1	154
8	1	154
9	1	154
10	1	154
11	1	154
12	1	154
13	1	154
14	1	96
15	6	96
16	6	96
17	6	95
18	6	95
19	6	95
20	8	94
21	8	94
22	9	94
23	9	94
24	9	94
25	9	94
26	9	94
27	9	94
28	9	94
29	9	94
30	9	94
31	9	94
32	9	94
33	9	94
34	9	94
35	9	94
36	9	94
37	9	94
38	9	94
39	9	94
40	9	94
41	9	94
42	9	94
43	9	94
44	9	94
45	9	94
46	9	94
47	9	94
48	9	94
49	9	94
50	9	94
