Population size: 200
Mutation rate: 0.05
Random ones: 100
Max force: 2.0
-----------------------
schema:
generation number	all time best	all time best time
1	1	131
2	2	125
3	3	121
4	4	121
5	4	121
6	4	121
7	4	121
8	4	121
9	4	121
10	4	121
11	4	121
12	4	121
13	4	121
14	4	121
15	4	121
16	4	121
17	5	121
18	5	121
19	5	121
20	5	121
21	5	121
22	5	121
23	5	121
24	5	121
25	5	121
26	5	121
27	5	121
28	5	121
29	5	121
30	5	121
31	5	121
32	5	121
33	5	121
34	5	121
35	5	121
36	5	121
37	5	121
38	5	121
39	5	121
40	5	121
41	5	121
42	5	108
43	5	108
44	8	108
45	8	108
46	8	104
47	8	104
48	8	104
49	8	104
50	8	104
